,id,img,label
0,1997,./annot_2000_no_politics/EVGGcGlWsAk0ZMJ.jpg,0
1,379,./annot_3000_hate/EgXEZlUXkAALLpc.jpg,1
2,1251,./annot_3000_hate/Et9SUcpXcAI5dBo.jpg,0
3,1319,./annot_2000_no_politics/EU2GVXxWoAACG0w.jpg,0
4,92,./annot_2000_no_politics/EVWhpADWsAEL7Mj.jpg,0
5,391,./annot_2000_no_politics/EV5jLRRWAAAljue.jpg,1
6,2841,./annot_3000_hate/EQbYflTXsAAYxUF.jpg,0
7,538,./annot_2000_no_politics/EubikTVXcAEzc-I.jpg,1
8,408,./annot_3000_hate/EP2XLsNU4AAqs-7.jpg,0
9,870,./annot_2000_no_politics/EzVutiTVcAAS0Ds.jpg,0
10,370,./annot_3000_hate/EVaVFUpUwAAccY8.jpg,0
11,453,./annot_3000_hate/EWdE5cLX0AA193_.jpg,0
12,1225,./annot_3000_hate/EfFhyz-X0AU-P8l.jpg,1
13,273,./annot_3000_hate/EVzvJ4QXgAE9RJJ.jpg,1
14,623,./annot_3000_hate/Ef1X2v3XgAAIRuB.jpg,1
15,2785,./annot_3000_hate/EfuU0InXYAMAauU.jpg,0
16,1146,./annot_2000_no_politics/EycqrAjXAAIptkJ.jpg,0
17,2893,./annot_3000_hate/EerAjlMXkAIQGu9.jpg,0
18,24,./annot_2000_no_politics/EQlNNvXXYAEjZQN.jpg,0
19,2657,./annot_3000_hate/EyHqlzHUUAAoxPr.jpg,0
20,341,./annot_2000_no_politics/EWau1hnWoAAMQmm.jpg,1
21,1732,./annot_3000_hate/Ef3n0WqWkAIyY08.jpg,0
22,56,./annot_3000_hate/EVboBp-WAAUSQCO.jpg,0
23,552,./annot_3000_hate/EU1_3FrUUAIwyrd.jpg,0
24,2816,./annot_3000_hate/EWLtOfsUYAc94d9.jpg,0
25,1267,./annot_3000_hate/EP_KbZzX4AEuFKh.jpg,0
26,2827,./annot_3000_hate/EU9E1ePU0AAg6Nd.jpg,0
27,2322,./annot_3000_hate/EgPNXqsX0AE7mhG.jpg,0
28,1484,./annot_2000_no_politics/EzvyU4bXIAANhNT.png,0
29,906,./annot_2000_no_politics/Eu3GfO5XIAAi1za.jpg,0
